101;Otto-Dix-Ring;Dresden;51.019464;13.780546
102;Wieckestraße;Dresden;51.017625;13.783825
103;Lohrmannstraße;Dresden;51.015833;13.786934
104;Hülßestraße;Dresden;51.013526;13.790807
105;Altreick;Dresden;51.013037;13.795121
106;Mügelner Straße;Dresden;51.010886;13.806409
107;Breitscheidstraße;Dresden;51.013747;13.811494
108;Trattendorfer Straße;Dresden;51.010127;13.800808
109;";hof Reick";Dresden;51.010688;13.804663
110;Reichenbachstraße;Dresden;51.035126;13.731387
111;Nürnberger Platz;Dresden;51.031775;13.726943
112;Südvorstadt;Dresden;51.034041;13.72208
113;Münchner Platz;Dresden;51.029895;13.72157
114;Plauen Nöthnitzer Str.;Dresden;51.027625;13.715769
115;Jahnstraße;Dresden;51.0545;13.723966
116;Löbtau Gröbelstraße;Dresden;51.04332;13.702331
117;Rosenstraße;Dresden;51.046657;13.713278
118;Oederaner Straße;Dresden;51.044886;13.709619
119;Saxoniastraße;Dresden;51.043739;13.706268
120;Tharandter Straße;Dresden;51.043735;13.703473
121;Bünaustraße;Dresden;51.04358;13.698662
122;Malterstraße;Dresden;51.042752;13.691273
123;Koblenzer Straße;Dresden;51.042461;13.68342
124;Wölfnitz;Dresden;51.043098;13.68166
125;Weißeritzstraße;Dresden;51.058373;13.722869
126;Neuer Annenfriedhof;Dresden;51.043349;13.694133
127;Cottaer Straße;Dresden;51.050275;13.713012
128;Wernerstraße;Dresden;51.046318;13.707575
129;Clara-Viebig-Straße;Dresden;51.038354;13.705072
130;Würzburger Straße;Dresden;51.034617;13.703595
131;Fritz-Schulze-Straße;Dresden;51.031847;13.701882
132;Coschützer Straße;Dresden;51.028254;13.70721
133;Westendstraße;Dresden;51.0246;13.713619
134;Cämmerswalder Straße;Dresden;51.022225;13.717408
135;Kotteweg;Dresden;51.02169;13.710347
136;Saarstraße;Dresden;51.019109;13.706133
137;Achtbeeteweg;Dresden;51.016416;13.700946
138;Coschütz;Dresden;51.015811;13.698672
139;Hp Plauen;Dresden;51.029776;13.703303
140;Semmelweisstraße;Dresden;51.051329;13.706062
141;Burgkstraße;Dresden;51.049025;13.696351
142;Pennricher Straße;Dresden;51.049069;13.692088
143;Conertplatz;Dresden;51.045979;13.693159
144;Birkenhainer Straße;Dresden;51.053059;13.690936
145;Altcotta;Dresden;51.056945;13.687055
146;Ockerwitzer Straße;Dresden;51.058756;13.684296
147;Chamissostraße;Dresden;51.049256;13.687874
148;Hebbelplatz;Dresden;51.051335;13.682743
149;Krankenhaus Friedrichstadt;Dresden;51.05988;13.718203
150;Vorwerkstraße;Dresden;51.061012;13.714578
151;";hof Waltherstraße";Dresden;51.060341;13.7119
152;Manitiusstraße;Dresden;51.05657;13.714685
153;Waltherstraße;Dresden;51.058121;13.710064
154;Hamburger Straße;Dresden;51.059233;13.701603
155;Bremer Straße;Dresden;51.060653;13.694836
156;Flügelweg;Dresden;51.061545;13.690361
157;Cossebauder Straße (Hp Cotta);Dresden;51.061781;13.680854
158;Gottfried-Keller-Straße;Dresden;51.060999;13.67773
159;Leutewitz;Dresden;51.059431;13.67047
160;Bahnhof Friedrichstadt;Dresden;51.056087;13.708391
161;Hp Cotta;Dresden;51.062122;13.683391
162;Koreanischer Platz;Dresden;51.054764;13.720139
163;Bf Neustadt (Hansastr);Dresden;51.066376;13.739117
164;Eisenbahnstraße;Dresden;51.064867;13.737805
165;Altpieschen;Dresden;51.077381;13.717125
166;Alter Schlachthof;Dresden;51.067916;13.731641
167;Alexander-Puschkin-Platz;Dresden;51.070874;13.72857
168;Oschatzer Straße;Dresden;51.074507;13.723068
169;Mickten;Dresden;51.080377;13.71391
170;Trachauer Straße;Dresden;51.078924;13.70812
171;Rethelstraße;Dresden;51.074495;13.698695
172;Alttrachau;Dresden;51.084341;13.709004
173;Rankestraße;Dresden;51.085859;13.704807
174;Am Trachauer Bahnhof;Dresden;51.088576;13.703422
175;Geblerstraße;Dresden;51.090215;13.702569
176;Kleestraße;Dresden;51.092351;13.699735
177;Scharfenberger Straße;Dresden;51.074034;13.693884
178;An der Flutrinne;Dresden;51.077177;13.699079
179;Sörnewitzer Straße;Dresden;51.079822;13.697135
180;Washingtonstraße;Dresden;51.08228;13.691259
181;Großenhainer/F.-Reuter-Str.;Dresden;51.075197;13.73471
182;Liststraße (Harkortstraße);Dresden;51.077134;13.7314
183;Lößnitzstraße;Dresden;51.069419;13.738203
184;Großenhainer Platz;Dresden;51.072737;13.735759
185;Liststraße;Dresden;51.076616;13.733008
186;Bürgerstraße;Dresden;51.076897;13.725569
187;Rathaus Pieschen;Dresden;51.077376;13.721748
188;Friedensstraße;Dresden;51.073434;13.74088
189;Bischofsplatz;Dresden;51.07196;13.746874
190;Zeithainer Straße;Dresden;51.082157;13.730389
191;Trachenberger Platz;Dresden;51.084631;13.727798
192;";hof Trachenberge";Dresden;51.087375;13.729499
193;Hubertusplatz;Dresden;51.089633;13.723317
194;Dorothea-Erxleben-Straße;Dresden;51.092926;13.720627
195;Wilder Mann;Dresden;51.095769;13.719248
196;Tannenstraße;Dresden;51.073758;13.752864
197;Dammweg;Dresden;51.06827;13.745351
198;Louisenstraße;Dresden;51.067957;13.747637
199;Bischofsweg;Dresden;51.071425;13.750735
200;Alaunplatz;Dresden;51.069916;13.755501
201;Görlitzer Straße;Dresden;51.066104;13.753702
202;Stauffenbergallee;Dresden;51.076621;13.755541
203;Heeresbäckerei;Dresden;51.081881;13.760264
204;Industriegelände;Dresden;51.086784;13.76302
205;Hellersiedlung;Dresden;51.093049;13.766028
206;Moritzburger Weg;Dresden;51.099111;13.768829
207;Infineon Süd;Dresden;51.10301;13.770191
208;Am Hellerrand;Dresden;51.110747;13.763232
209;Heinrich-Tessenow-Weg;Dresden;51.112601;13.759518
210;Festspielhaus Hellerau;Dresden;51.112602;13.751092
211;Brunnenweg;Dresden;51.115588;13.746135
212;Hellerau Kiefernweg;Dresden;51.116784;13.740695
213;Infineon Nord;Dresden;51.10759;13.772865
214;Karl-Marx-Straße;Dresden;51.110611;13.775766
215;Zur Neuen Brücke;Dresden;51.11435;13.784064
216;Käthe-Kollwitz-Platz;Dresden;51.118474;13.789508
217;Arkonastraße;Dresden;51.123195;13.791219
218;Industriepark Klotzsche;Dresden;51.127533;13.792644
219;Diebsteig;Dresden;51.0951;13.76592
220;Hans-Oster-Straße;Dresden;51.074908;13.760656
221;Kleines Haus (Glacisstr.);Dresden;51.061484;13.750046
222;Kamenzer Straße;Dresden;51.070136;13.759961
223;Pulsnitzer Straße;Dresden;51.063296;13.757533
224;Diakonissenkrankenhaus;Dresden;51.064264;13.762435
225;Nordstraße;Dresden;51.066137;13.769368
226;Waldschlößchen;Dresden;51.06728;13.777602
227;Angelikastraße;Dresden;51.066998;13.78374
228;Wilhelminenstraße;Dresden;51.067196;13.789583
229;Elbschlösser;Dresden;51.065947;13.797767
230;Mordgrundbrücke;Dresden;51.064302;13.811699
231;Plattleite;Dresden;51.063763;13.821493
232;Am Weißen Adler;Dresden;51.061875;13.831263
233;Schwimmhalle Bühlau;Dresden;51.062231;13.838923
234;Grundstraße;Dresden;51.061828;13.848508
235;Bühlau Ullersdorfer Platz;Dresden;51.062159;13.85487
236;Hegereiterstraße;Dresden;51.061959;13.843663
237;Weberplatz;Dresden;51.031266;13.750875
238;Strehlener Platz;Dresden;51.033762;13.749272
239;Zellescher Weg;Dresden;51.028366;13.745847
240;Räcknitzhöhe;Dresden;51.023535;13.742473
241;Münzmeisterstraße;Dresden;51.019177;13.741155
242;Albert-Wolf-Platz;Dresden;51.008362;13.803319
243;Jacob-Winter-Platz;Dresden;51.005237;13.799037
244;Georg-Palitzsch-Straße;Dresden;51.002118;13.797862
245;Prohlis Einkaufszentrum;Dresden;50.998513;13.799603
246;Julius-Vahlteich-Straße;Dresden;51.042392;13.680109
247;Dahlienweg;Dresden;51.046235;13.67982
248;Coventrystraße;Dresden;51.0482;13.68069
249;Amalie-Dietrich-Platz;Dresden;51.045484;13.678296
250;Merianplatz;Dresden;51.044677;13.669996
251;Kirschenstraße;Dresden;51.046216;13.663548
252;Schlehenstraße;Dresden;51.048826;13.658921
253;";hof Gorbitz";Dresden;51.046851;13.652989
254;Altnossener Straße;Dresden;51.040009;13.645459
255;Rudolf-Walther-Straße;Gompitz;51.038893;13.637862
256;Gompitzer Höhe;Gompitz;51.040182;13.632504
257;Pennrich Gleisschleife;Pennrich (Dresden);51.040706;13.625835
258;Fetscherpl. (Ost);Dresden;51.045794;13.773484
259;Wormser Straße;Dresden;51.047495;13.78222
260;Fährstelle Kleinzschachwitz;Dresden;51.009596;13.861592
261;Fährstelle Pillnitz;Dresden;51.011072;13.863789
262;Fährstelle Laubegast;Dresden;51.031723;13.837615
263;Fährstelle Niederpoyritz;Dresden;51.032233;13.839446
264;Fährstelle Johannstadt;Dresden;51.061586;13.766584
265;Fährstelle Neustadt;Dresden;51.062911;13.765736
266;Podemuser Straße;Pennrich (Dresden);51.04349;13.622795
267;Hohlweg;Gompitz;51.043127;13.635944
268;Schule Gompitz;Gompitz;51.041906;13.641605
269;Oskar-Maune-Straße;Pennrich (Dresden);51.043329;13.625998
270;Am Querfeld;Ockerwitz;51.056309;13.647834
271;Ockerwitz;Ockerwitz;51.05564;13.643018
272;Abzweig Roitzsch;Unkersdorf;51.053553;13.599042
273;Steinbach (Dresden);Steinbach (Dresden);51.044413;13.602834
274;Kirche;Unkersdorf;51.05813;13.591069
275;Teichweg;Unkersdorf;51.055858;13.592232
276;Zschonerbach;Zöllmen;51.044588;13.611682
277;Altleuteritz;Alt-Leuteritz/Brabschütz;51.070805;13.635993
278;Kohlsdorfer Landstraße;Gompitz;51.036808;13.63334
279;Zum Schwarm;Alt-Leuteritz/Brabschütz;51.069386;13.62303
280;Gewerbegebiet;Merbitz/Podemus;51.068453;13.637037
281;Autobahnbrücke;Merbitz/Podemus;51.071107;13.638187
282;Roitzscher Straße;Merbitz/Podemus;51.061619;13.626268
283;Zschonergrundmühle;Merbitz/Podemus;51.058574;13.640839
284;Rennersdorf;Rennersdorf(Dresden);51.069173;13.609839
285;Altmobschatz;Mobschatz;51.075249;13.644126
286;Am Tummelsgrund;Mobschatz;51.077994;13.645166
287;Am Hang;Mobschatz;51.081272;13.640943
288;Bahnhof;Cossebaude/Neu-Leuteritz;51.085106;13.631631
289;Albertplatz;Oberwartha;51.08229;13.611722
290;Gewerbegebiet Breitscheidstr;Cossebaude/Neu-Leuteritz;51.081855;13.639722
291;Eichbergstraße;Cossebaude/Neu-Leuteritz;51.085099;13.62889
292;Erna-Berger-Straße;Cossebaude/Neu-Leuteritz;51.087874;13.628474
293;Weinbergstraße;Cossebaude/Neu-Leuteritz;51.083603;13.625926
294;Sonnenleite;Cossebaude/Neu-Leuteritz;51.084431;13.623286
295;Parkweg;Cossebaude/Neu-Leuteritz;51.082887;13.615982
296;Ludwigstraße;Cossebaude/Neu-Leuteritz;51.087324;13.635605
297;Gohliser Weg;Cossebaude/Neu-Leuteritz;51.087025;13.639035
298;Schulstraße;Cossebaude/Neu-Leuteritz;51.087895;13.631472
299;Talstraße;Cossebaude/Neu-Leuteritz;51.080261;13.619272
300;An den Winkelwiesen;Cossebaude/Neu-Leuteritz;51.089125;13.622508
301;Gohlis;Dresden;51.085194;13.645193
302;Haltepunkt;Niederwartha;51.093527;13.606488
303;Amselgrund;Niederwartha;51.088519;13.613666
304;Rohrbahn;Niederwartha;51.090477;13.609237
305;Hermann-Große-Str;Niederwartha;51.089963;13.606736
306;Oberwarthaer Str.;Niederwartha;51.091421;13.603361
307;Dorotheenstraße;Oberwartha;51.081317;13.608577
308;Friedensplatz;Oberwartha;51.080788;13.603235
309;Hässige Straße;Oberwartha;51.078539;13.611206
310;August-Bebel-Straße;Dresden;51.029769;13.755993
311;Hettnerstraße;Dresden;51.03033;13.727388
312;Energiemuseum;Dresden;51.053849;13.723
313;Maternistr. (Boulevardtheater);Dresden;51.049148;13.723567
314;Taschenbergpalais;Dresden;51.052464;13.735229
315;Botanischer Garten;Dresden;51.044796;13.758059
316;Kraszewskimuseum;Dresden;51.068182;13.761357
317;Militärhist. Museum;Dresden;51.08038;13.757838
318;Schulmuseum (Bf Mitte);Dresden;51.055782;13.721774
319;Omsewitz;Dresden;51.053077;13.658331
320;Adalbert-Stifter-Weg;Dresden;51.052448;13.659578
321;Altomsewitz;Dresden;51.053015;13.660183
322;Altburgstädtel;Dresden;51.053656;13.663758
323;Lise-Meitner-Straße;Dresden;51.053928;13.666805
324;Gorbitzer Straße;Dresden;51.052908;13.672717
325;Grillparzerstraße;Dresden;51.052705;13.681852
326;Arthur-Weineck-Straße;Dresden;51.052444;13.677521
327;Kaitzer Straße;Dresden;51.028152;13.711683
328;Heinrich-Zille-Straße;Dresden;51.025632;13.757276
329;Stadtgutstraße;Dresden;51.024122;13.736251
330;Regensburger Straße;Dresden;51.026382;13.720826
331;Am Anger;Dresden;51.012109;13.788829
332;Robert-Sterl-Straße;Dresden;51.016071;13.763585
333;Clausen-Dahl-Straße;Dresden;51.017431;13.761042
334;Schurichtstraße;Dresden;51.024472;13.753156
335;Eissporthalle;Dresden;51.061389;13.721326
336;Alberthafen;Dresden;51.063117;13.715726
337;Messe Dresden;Dresden;51.069826;13.714291
338;Messe Gleisschleife;Dresden;51.07206;13.714644
339;Messering (Halle 1);Dresden;51.068173;13.716712
340;Heinz-Steyer-Stadion;Dresden;51.058757;13.726064
341;Thäterstraße;Dresden;51.071158;13.695092
342;Mengsstraße;Dresden;51.069426;13.694315
343;Mobschatzer Höhe;Dresden;51.067878;13.651698
344;Am Zschonergrundbad;Dresden;51.068186;13.655376
345;Schleswiger Straße;Dresden;51.068834;13.660378
346;Schulberg;Dresden;51.067572;13.670106
347;Schunckstraße;Dresden;51.064221;13.675564
348;Am Lehmberg;Dresden;51.064228;13.673239
349;Droste-Hülshoff-Straße;Dresden;51.061963;13.666866
350;Martin-Opitz-Straße;Dresden;51.058953;13.661737
351;Freiheit;Dresden;51.058343;13.656608
352;Hammeraue;Dresden;51.067932;13.666281
353;Am Steinigt;Dresden;51.058533;13.650181
354;Hp Kemnitz;Dresden;51.07266;13.669476
355;Merbitzer Straße;Dresden;51.067132;13.674428
356;Zschonergrundstraße;Dresden;51.071738;13.670428
357;Flensburger Straße;Dresden;51.075601;13.6662
358;Podemusstraße;Dresden;51.079511;13.659334
359;Am Urnenfeld;Dresden;51.082605;13.652223
360;Hp Stetzsch;Dresden;51.080919;13.65065
361;Fehrmannweg;Dresden;51.089076;13.642761
362;Gartenstraße;Dresden;51.089118;13.637838
363;Kolpingstraße;Dresden;51.090374;13.635442
364;Niedergohlis Dorfstraße;Dresden;51.094351;13.64222
365;Niedergohlis Südstr;Dresden;51.092758;13.641079
366;Obergohlis;Dresden;51.088754;13.646504
367;Schillerstraße;Dresden;51.088686;13.634654
368;Windmühlenweg;Dresden;51.092415;13.645064
369;Fürstenhainer Straße;Dresden;51.085775;13.683308
370;Kaditzer Straße;Dresden;51.072683;13.695347
371;Werftstraße;Dresden;51.069169;13.689683
372;Overbeckstraße;Dresden;51.073622;13.690059
373;Gewerbegebiet Kaditz;Dresden;51.07802;13.690576
374;Ranke-/Peschelstraße;Dresden;51.087921;13.699644
375;Dungerstraße;Dresden;51.089244;13.695211
376;Altkaditz;Dresden;51.084471;13.672699
377;Kaditz Am Vorwerksfeld;Dresden;51.092975;13.668281
378;Spitzhausstraße;Dresden;51.091489;13.673524
379;Seewiesenweg;Dresden;51.087969;13.679534
380;Riegelplatz;Dresden;51.083342;13.686788
381;Wächterstraße;Dresden;51.082289;13.700565
382;Bunsenstraße;Dresden;51.082247;13.707129
383;ElbePark;Dresden;51.081978;13.695359
384;Wurzener Straße;Dresden;51.081142;13.719975
385;Markusfriedhof;Dresden;51.086846;13.7221
386;Boxdorfer Straße;Dresden;51.087714;13.718692
387;Hp Pieschen;Dresden;51.081484;13.726025
388;Pestalozziplatz;Dresden;51.078791;13.732418
389;Maxim-Gorki-Straße;Dresden;51.088923;13.73057
390;Sankt-Pauli-Friedhof;Dresden;51.087273;13.737531
391;Oberauer Straße;Dresden;51.084197;13.743068
392;Bärwalder Straße;Dresden;51.081484;13.745406
393;Schanzenstraße;Dresden;51.077659;13.749858
394;Rudolf-Leonhard-Straße;Dresden;51.077403;13.751946
395;Buchenstraße;Dresden;51.078541;13.747393
396;Justizvollzugsanstalt;Dresden;51.08957;13.748109
397;Marienallee;Dresden;51.073252;13.765545
398;Landesdirektion Sachsen;Dresden;51.071734;13.770238
399;Waldschlößchenstraße;Dresden;51.06984;13.775388
400;Arno-Holz-Allee;Dresden;51.071092;13.765748
401;Fabricestraße;Dresden;51.090246;13.743795
402;Klotzsche Infineon;Dresden;51.107077;13.774045
403;Rathaus Klotzsche;Dresden;51.111093;13.774799
404;Grüner Weg;Dresden;51.113931;13.773194
405;Dörnichtweg;Dresden;51.116361;13.770045
406;Flughafenstraße;Dresden;51.120668;13.763467
407;Flughafen;Dresden;51.124667;13.766505
408;Flughafen West;Dresden;51.123267;13.766395
409;Flugzeugwerke;Dresden;51.126979;13.772379
410;Krankenhaus Neustadt;Dresden;51.089749;13.708676
411;Hp Trachau;Dresden;51.089708;13.704692
412;Kopernikusstraße;Dresden;51.091388;13.711548
413;Aachener Straße;Dresden;51.094654;13.711954
414;Stephanstraße;Dresden;51.093845;13.715636
415;Wilder-Mann-Straße;Dresden;51.088017;13.71522
416;Platanenstraße;Dresden;51.094381;13.718911
417;Neuländer Straße;Dresden;51.099022;13.715699
418;Heidefriedhof;Dresden;51.104454;13.710646
419;Lößnitzweg;Dresden;51.117296;13.712149
